Date,AGNC,AXON,BCG,BSBK,CEAD,CMRX,CVCO,FNKO,FNLC,IFRX,KLXE,MSBI,NMRA,NMRK,NVCR,NVCT,NVEC,NVEI,OPTN,OPTX,SCNI,SCOR,SDA,SLAB,STRR,STRS,STRT,TWST,UONEK,ZPTA
2017-04-01,8.812853813171387,24.579999923706055,,,309.6000061035156,5.980000019073486,118.75,,19.146093368530273,,,25.22013282775879,,,11.300000190734863,,53.292564392089844,,,,655.0,514.0,,71.1500015258789,206.09866333007812,25.969167709350586,30.31974983215332,,3.0,
2017-05-01,8.771397590637207,24.010000228881836,,,237.60000610351562,4.480000019073486,110.25,,17.991559982299805,,,25.541778564453125,,,12.550000190734863,,51.67565155029297,,,,740.0,502.0,,74.80000305175781,171.01805114746094,23.96819305419922,33.52619171142578,,2.0,
2017-06-01,9.061294555664062,25.139999389648438,,,212.39999389648438,5.449999809265137,129.64999389648438,,19.373329162597656,,,24.643354415893555,,,17.299999237060547,,51.06022262573242,,,,878.4000244140625,525.0,,68.3499984741211,179.61376953125,25.577672958374023,33.38473129272461,,2.25,
2017-07-01,9.08987808227539,24.59000015258789,,,243.0,4.96999979019165,130.39999389648438,,19.287418365478516,,,23.349435806274414,,,20.600000381469727,,52.3068962097168,,,,952.0,600.4000244140625,,75.0999984741211,181.83123779296875,24.925180435180664,33.62124252319336,,1.899999976158142,
2017-08-01,9.323653221130371,21.709999084472656,,,201.60000610351562,4.760000228881836,134.5500030517578,,18.800891876220703,,,22.45250701904297,,,20.5,,50.94058609008789,,,,797.0,581.0,,75.9000015258789,157.43923950195312,25.751670837402344,29.738222122192383,,1.75,
2017-09-01,9.462858200073242,22.670000076293945,,,185.39999389648438,5.25,147.5500030517578,,21.892236709594727,,,23.444351196289062,,,19.850000381469727,,53.04296875,,,,715.0,575.0,,79.9000015258789,155.28179931640625,26.36066246032715,38.73545837402344,,1.649999976158142,
2017-10-01,8.859599113464355,22.969999313354492,,,259.20001220703125,4.920000076293945,156.89999389648438,,22.542287826538086,,,24.014177322387695,,,21.600000381469727,,57.1469612121582,,,,730.0,597.4000244140625,,94.9000015258789,90.01844024658203,25.88216781616211,43.86945343017578,,1.75,
2017-11-01,8.835274696350098,24.8799991607666,,,279.0,4.46999979019165,153.14999389648438,,22.550357818603516,,,24.60620880126953,,,19.25,,56.8427619934082,,19.09000015258789,,581.9000244140625,579.7999877929688,,91.0999984741211,103.52120208740234,27.143653869628906,41.920753479003906,,1.5499999523162842,
2017-12-01,9.044306755065918,26.5,,,432.0,4.630000114440918,152.60000610351562,6.650000095367432,19.82072639465332,20.950000762939453,,24.193021774291992,,,20.200000762939453,,58.46062088012695,,18.899999618530273,,536.0,570.0,,88.30000305175781,118.73597717285156,25.838668823242188,41.39793014526367,,1.75,
2018-01-01,8.492578506469727,26.459999084472656,,,608.4000244140625,4.789999961853027,153.14999389648438,7.369999885559082,20.490394592285156,23.950000762939453,,23.902528762817383,,14.795387268066406,22.450000762939453,,56.978721618652344,,18.950000762939453,,726.0,453.0,,96.19999694824219,108.15098571777344,26.621660232543945,36.769954681396484,,1.850000023841858,
