date,tic,popularity
2004-08-01,RTX,0.01
2004-08-01,SBUX,0.0
2004-08-01,SCHW,0.0
2004-08-01,SO,0.31
2004-08-01,SPG,0.0
2004-08-01,T,0.64
2004-08-01,TGT,0.0
2004-08-01,TMO,0.03
2004-08-01,TMUS,0.0
2004-08-01,TSLA,0.0
2004-08-01,TXN,0.01
2004-08-01,UNH,0.01
2004-08-01,UNP,0.0
2004-08-01,UPS,0.31
2004-08-01,USB,0.85
2004-08-01,V,0.47
2004-08-01,VZ,0.0
2004-08-01,WFC,0.0
2004-08-01,WMT,0.0
2004-08-01,XOM,0.0
2004-09-01,AAPL,0.04
2004-09-01,ABBV,0.0
2004-09-01,ABT,0.38
2004-09-01,ACN,0.31
2004-09-01,ADBE,0.04
2004-09-01,AIG,0.11
2004-09-01,AMD,0.96
2004-09-01,AMGN,0.0
2004-09-01,AMT,0.25
2004-09-01,AMZN,0.0
2004-09-01,AVGO,0.0
2004-09-01,AXP,0.0
2004-09-01,BA,0.32
2004-09-01,BAC,0.15
2004-09-01,BK,0.06
2004-09-01,BKNG,0.0
2004-09-01,BLK,0.0
2004-09-01,BMY,0.0
2004-09-01,BRK-B,0.0
2004-09-01,C,0.87
2004-09-01,CAT,0.63
2004-09-01,CHTR,0.0
2004-09-01,CL,0.04
2004-09-01,CMCSA,0.0
2004-09-01,COF,0.0
2004-09-01,COP,0.04
2004-09-01,COST,0.48
2004-09-01,CRM,0.07
2004-09-01,CSCO,0.0
2004-09-01,CVS,0.13
2004-09-01,CVX,0.0
2004-09-01,DE,0.77
2004-09-01,DHR,0.0
2004-09-01,DIS,0.0
2004-09-01,DOW,0.06
2004-09-01,DUK,0.0
2004-09-01,EMR,0.0
2004-09-01,F,0.21
2004-09-01,FDX,0.0
2004-09-01,GD,0.02
2004-09-01,GE,0.1
2004-09-01,GILD,0.0
2004-09-01,GM,0.63
2004-09-01,GOOG,0.08
2004-09-01,GOOGL,0.03
2004-09-01,GS,0.28
2004-09-01,HD,0.04
2004-09-01,HON,0.0
2004-09-01,IBM,0.15
2004-09-01,INTC,0.0
2004-09-01,INTU,0.0
2004-09-01,JNJ,0.0
2004-09-01,JPM,0.0
2004-09-01,KHC,0.0
2004-09-01,KO,0.07
2004-09-01,LIN,0.06
2004-09-01,LLY,0.0
2004-09-01,LMT,0.0
2004-09-01,LOW,0.48
2004-09-01,MA,0.53
2004-09-01,MCD,0.01
2004-09-01,MDLZ,0.0
2004-09-01,MDT,0.01
2004-09-01,MET,0.38
2004-09-01,META,0.11
2004-09-01,MMM,0.02
2004-09-01,MO,0.3
2004-09-01,MRK,0.0
2004-09-01,MS,0.72
2004-09-01,MSFT,0.0
2004-09-01,NEE,0.01
2004-09-01,NFLX,0.0
2004-09-01,NKE,0.01
2004-09-01,NVDA,0.01
2004-09-01,ORCL,0.02
2004-09-01,PEP,0.5
2004-09-01,PFE,0.04
2004-09-01,PG,0.07
2004-09-01,PM,0.12
2004-09-01,PYPL,0.0
2004-09-01,QCOM,0.0
2004-09-01,RTX,0.01
2004-09-01,SBUX,0.0
2004-09-01,SCHW,0.0
2004-09-01,SO,0.3
2004-09-01,SPG,0.0
2004-09-01,T,0.63
2004-09-01,TGT,0.0
2004-09-01,TMO,0.03
2004-09-01,TMUS,0.0
2004-09-01,TSLA,0.0
2004-09-01,TXN,0.01
